id,name,routeNumber,busId,driverId,stops,studentsCount,distance,duration,status,path,currentPathIndex,departureTime,expectedArrivalTime
RT-001,Greenfield ↔ Zone B,Route 1,BUS-001,DRV-001,"[{""name"":""Koramangala 5th Block Stop 1"",""lat"":12.9716,""lng"":77.5996,""scheduledTime"":""07:30 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""HSR Layout BDA Complex Stop 2"",""lat"":12.979046647170925,""lng"":77.61399697254971,""scheduledTime"":""07:37 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Whitefield Metro Stn Stop 3"",""lat"":12.985370724400402,""lng"":77.62684886012755,""scheduledTime"":""07:45 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Jayanagar 4th Block Stop 4"",""lat"":12.989878445309865,""lng"":77.63911057776161,""scheduledTime"":""07:52 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Malleshwaram 8th Cross Stop 5"",""lat"":12.992569809899315,""lng"":77.65196246533945,""scheduledTime"":""07:60 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Hebbal Flyover Junction Stop 6"",""lat"":12.994138604547315,""lng"":77.66635943788917,""scheduledTime"":""07:67 AM"",""status"":""pending"",""boardedCount"":0}]",21,13,36,running,"[[12.9716,77.5996],[12.971828644501905,77.5921860384528],[12.974142132090577,77.59482655785561],[12.972308775482857,77.60703122637038],[12.976638830488355,77.60026686443034],[12.97285643409122,77.60306311262927],[12.979046647170925,77.61399697254971],[12.973513354695914,77.60879481138008],[12.981326018673338,77.61172353040531],[12.974316496392321,77.62056675762821],[12.983442995201361,77.6176864792964],[12.975296427712468,77.62071144401065],[12.985370724400402,77.62684886012755],[12.976475990633501,77.62682286463121],[12.987090624932256,77.62989842869861],[12.977869302273657,77.63297971894458],[12.988593198568742,77.63606100919056],[12.979481137906477,77.63913657325796],[12.989878445309865,77.63911057776161],[12.98130672225842,77.64524799387851],[12.9909558633838,77.64827295859277],[12.983331938211245,77.64539268026095],[12.991844034128752,77.65423590748385],[12.985533943787814,77.65716462650909],[12.992569809899315,77.65196246533945],[12.987882170456096,77.6628963252599],[12.993167140489717,77.66569257345883],[12.990339659120709,77.65892821151878],[12.993675589364916,77.67113288003355],[12.992864675412733,77.67377339943637],[12.994138604547315,77.66635943788917]]",12,07:30 AM,08:30 AM
RT-002,Hill ↔ Zone C,Route 2,BUS-002,DRV-002,"[{""name"":""HSR Layout BDA Complex Stop 1"",""lat"":12.9912,""lng"":77.5771,""scheduledTime"":""07:30 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Whitefield Metro Stn Stop 2"",""lat"":12.99590854423274,""lng"":77.57898658675217,""scheduledTime"":""07:36 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Jayanagar 4th Block Stop 3"",""lat"":13.009947215484404,""lng"":77.59203342754218,""scheduledTime"":""07:42 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Malleshwaram 8th Cross Stop 4"",""lat"":13.007825632698223,""lng"":77.60575014131325,""scheduledTime"":""07:49 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Hebbal Flyover Junction Stop 5"",""lat"":13.024364303949888,""lng"":77.61946685508433,""scheduledTime"":""07:55 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""MG Road Metro Stop 6"",""lat"":13.024742721163706,""lng"":77.63251369587434,""scheduledTime"":""07:62 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Bannerghatta Road Apex Stop 7"",""lat"":13.034451265396447,""lng"":77.6344002826265,""scheduledTime"":""07:68 AM"",""status"":""pending"",""boardedCount"":0}]",22,14,37,running,"[[12.9912,77.5771],[12.992119066530208,77.56937073327738],[12.995122976147185,77.57169594750478],[12.993980041567768,77.58358531084413],[12.999000518601571,77.57650564372865],[12.99590854423274,77.57898658675217],[13.002789179340752,77.58960514149719],[12.997946308894043,77.58408767515213],[13.006449394899771,77.58670108900193],[13.00013029464706,77.59522901104941],[13.009947215484404,77.59203342754218],[13.002491070023817,77.59474308708101],[13.013255788740054,77.60056519802248],[13.005051477001459,77.60022389735072],[13.016356533328516,77.6029841562427],[13.007825632698223,77.60575014131325],[13.019239951021612,77.6085161263838],[13.01081831238765,77.61127638527579],[13.021906041819344,77.61093508460402],[13.014024740796202,77.61675719554549],[13.024364303949888,77.61946685508433],[13.017430800805638,77.61627127157709],[13.026633318751449,77.62479919362457],[13.021013650438816,77.62741260747437],[13.02873993857862,77.62189514112931],[13.024742721163706,77.63251369587434],[13.030718113225632,77.63499463889785],[13.028581053884928,77.62791497178237],[13.032607406157439,77.63980433512172],[13.03248691423356,77.64212954934912],[13.034451265396447,77.6344002826265]]",12,07:30 AM,08:30 AM
RT-003,Sunrise ↔ Zone D,Route 3,BUS-003,DRV-003,"[{""name"":""Whitefield Metro Stn Stop 1"",""lat"":12.9515,""lng"":77.6301,""scheduledTime"":""07:30 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Jayanagar 4th Block Stop 2"",""lat"":12.96159501200849,""lng"":77.62751745387386,""scheduledTime"":""07:35 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Malleshwaram 8th Cross Stop 3"",""lat"":12.971338381713611,""lng"":77.63572470929236,""scheduledTime"":""07:41 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Hebbal Flyover Junction Stop 4"",""lat"":12.980439268960811,""lng"":77.64760062845814,""scheduledTime"":""07:46 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""MG Road Metro Stop 5"",""lat"":12.980869909367057,""lng"":77.65582657839295,""scheduledTime"":""07:52 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Bannerghatta Road Apex Stop 6"",""lat"":12.989776891191962,""lng"":77.65883327483947,""scheduledTime"":""07:58 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Basavanagudi Temple St Stop 7"",""lat"":12.99938330495695,""lng"":77.67308750928193,""scheduledTime"":""07:63 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Richmond Road Plaza Stop 8"",""lat"":13.01195996594834,""lng"":77.67248885871562,""scheduledTime"":""07:69 AM"",""status"":""pending"",""boardedCount"":0}]",23,15,38,running,"[[12.9515,77.6301],[12.952992689881938,77.62187368581368],[12.956570222850644,77.62370185257738],[12.956000911622958,77.63509416845304],[12.96159501200849,77.62751745387386],[12.95907666099139,77.62950134943368],[12.96653091945113,77.63962285671501],[12.962261672356151,77.63360834290626],[12.971338381713611,77.63572470929236],[12.965592904812627,77.64375558387616],[12.975983449001703,77.64006295290521],[12.969100926892844,77.64227556498035],[12.980439268960811,77.64760062845814],[12.972808580573945,77.64676228032268],[12.984687260252732,77.64902549175095],[12.976729982974168,77.65129442935782],[12.988717924649288,77.65356336696468],[12.980869909367057,77.65582657839295],[12.992531262150479,77.65498823025749],[12.985223584479067,77.66031329373527],[12.996136770984482,77.66252590581041],[12.989776891191962,77.65883327483947],[12.999553032489501,77.66686414942326],[12.9945069875286,77.66898051580937],[13.002806899020134,77.66296600200062],[12.99938330495695,77.67308750928193],[13.005932320370606,77.67507140484176],[13.00436888438163,77.66749469026259],[13.008968860005872,77.67888700613824],[13.009421991433722,77.68071517290194],[13.01195996594834,77.67248885871562]]",12,07:30 AM,08:30 AM
RT-004,Lake ↔ Zone E,Route 4,BUS-004,DRV-004,"[{""name"":""Jayanagar 4th Block Stop 1"",""lat"":12.9325,""lng"":77.55319999999999,""scheduledTime"":""07:30 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Malleshwaram 8th Cross Stop 2"",""lat"":12.946134144214824,""lng"":77.55223868944864,""scheduledTime"":""07:39 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Hebbal Flyover Junction Stop 3"",""lat"":12.96388527981418,""lng"":77.56481660052006,""scheduledTime"":""07:48 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""MG Road Metro Stop 4"",""lat"":12.989580801188184,""lng"":77.5759166671279,""scheduledTime"":""07:57 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Bannerghatta Road Apex Stop 5"",""lat"":13.00527055962836,""lng"":77.57643320104015,""scheduledTime"":""07:66 AM"",""status"":""pending"",""boardedCount"":0}]",24,16,39,running,"[[12.9325,77.55319999999999],[12.934403043004606,77.54433516389116],[12.938390929095979,77.54552480873234],[12.93823197099096,77.55627860268548],[12.94423642449916,77.5480633661838],[12.942128426604727,77.5494087398211],[12.949993038187134,77.5588917251799],[12.946134144214824,77.55223868944864],[12.95562120669495,77.55371653391224],[12.950286082916634,77.5611088865735],[12.961086980228377,77.55677773368005],[12.954614811242186,77.55835182383268],[12.96636350643282,77.56303836538794],[12.959143171168622,77.56156149532997],[12.971432203970076,77.56318618483573],[12.96388527981418,77.56481660052006],[12.976283574611966,77.5664470162044],[12.968845912452402,77.56807170571017],[12.980917618358491,77.5665948356522],[12.974020293809748,77.57128137720746],[12.98534383343783,77.57285546736009],[12.979394306767977,77.56852431446663],[12.989580801188184,77.5759166671279],[12.98494510934995,77.57739451159149],[12.99365537396415,77.57074147586023],[12.990642133023634,77.58022446121903],[12.997601501559958,77.58156983485634],[12.99644841869365,77.57335459835465],[13.001458747440559,77.5841083923078],[13.002322231991077,77.58529803714897],[13.00527055962836,77.57643320104015]]",12,07:30 AM,08:30 AM
RT-005,St. ↔ Zone F,Route 5,BUS-005,DRV-005,"[{""name"":""Malleshwaram 8th Cross Stop 1"",""lat"":12.981,""lng"":77.64819999999999,""scheduledTime"":""07:30 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Hebbal Flyover Junction Stop 2"",""lat"":12.999776069331558,""lng"":77.64952212238424,""scheduledTime"":""07:37 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""MG Road Metro Stop 3"",""lat"":13.017429568721665,""lng"":77.64929915979661,""scheduledTime"":""07:45 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Bannerghatta Road Apex Stop 4"",""lat"":13.03326671179176,""lng"":77.64848602726524,""scheduledTime"":""07:52 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Basavanagudi Temple St Stop 5"",""lat"":13.047287498541841,""lng"":77.64826306467761,""scheduledTime"":""07:60 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Richmond Road Plaza Stop 6"",""lat"":13.060185715350475,""lng"":77.64958518706186,""scheduledTime"":""07:67 AM"",""status"":""pending"",""boardedCount"":0}]",25,17,40,running,"[[12.981,77.64819999999999],[12.983116881528677,77.63860689675855],[12.98731860614412,77.63906827446712],[12.987373486563172,77.64909380128765],[12.993591778595441,77.64015029765335],[12.99169761922508,77.64076740415805],[12.999776069331558,77.64952212238424],[12.996131013883318,77.64214081952038],[13.005831914887514,77.64289039685136],[13.000710629633268,77.64955448238001],[13.011725365469081,77.64449506235395],[13.00546703500696,77.64534088537397],[13.017429568721665,77.64929915979661],[13.010423071981537,77.64709402260604],[13.022925943307062,77.64799044497919],[13.015592857675236,77.64889259353092],[13.028204990997095,77.64979474208266],[13.020981167361601,77.65069116445581],[13.03326671179176,77.64848602726524],[13.026583225767087,77.65244430168788],[13.03812060391924,77.6532901247079],[13.032384915773457,77.64823070468184],[13.042785248717735,77.65489479021049],[13.03836339540357,77.65564436754147],[13.047287498541841,77.64826306467761],[13.044488096125397,77.6570177829038],[13.05166130318579,77.6576348894085],[13.050722058843553,77.6486913857742],[13.055946226114532,77.65871691259473],[13.05702354918912,77.6591782903033],[13.060185715350475,77.64958518706186]]",12,07:30 AM,08:30 AM
RT-006,Greenfield ↔ Zone A,Route 6,BUS-006,DRV-006,"[{""name"":""Hebbal Flyover Junction Stop 1"",""lat"":12.9716,""lng"":77.5996,""scheduledTime"":""07:30 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""MG Road Metro Stop 2"",""lat"":12.982297619225081,""lng"":77.5883723418041,""scheduledTime"":""07:36 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Bannerghatta Road Apex Stop 3"",""lat"":13.002325365469082,""lng"":77.58830493764604,""scheduledTime"":""07:42 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Basavanagudi Temple St Stop 4"",""lat"":13.006192857675236,""lng"":77.58890740646908,""scheduledTime"":""07:49 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Richmond Road Plaza Stop 5"",""lat"":13.02872060391924,""lng"":77.5895098752921,""scheduledTime"":""07:55 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Frazer Town Mosque Stop 6"",""lat"":13.035088096125397,""lng"":77.58944247113403,""scheduledTime"":""07:62 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Ulsoor Lake Gate Stop 7"",""lat"":13.050785715350475,""lng"":77.57821481293814,""scheduledTime"":""07:68 AM"",""status"":""pending"",""boardedCount"":0}]",26,18,41,running,"[[12.9716,77.5996],[12.973716881528677,77.58924788428777],[12.97791860614412,77.58895024952554],[12.977973486563172,77.59821676387529],[12.984191778595441,77.5885142477702],[12.982297619225081,77.5883723418041],[12.990376069331559,77.59636804755951],[12.986731013883318,77.58822773222484],[12.996431914887514,77.58821829708504],[12.991310629633269,77.59412337014291],[13.002325365469082,77.58830493764604],[12.996067035006961,77.58839174819528],[13.008029568721666,77.59159101014714],[13.001023071981537,77.58862686048576],[13.013525943307062,77.58876427038813],[13.006192857675236,77.58890740646908],[13.018804990997095,77.58905054255001],[13.011581167361602,77.58918795245238],[13.023866711791761,77.586223802791],[13.017183225767088,77.58942306474286],[13.02872060391924,77.5895098752921],[13.022984915773458,77.58369144279523],[13.033385248717735,77.5895965158531],[13.02896339540357,77.5895870807133],[13.037887498541842,77.58144676537863],[13.035088096125397,77.58944247113403],[13.042261303185791,77.58930056516793],[13.041322058843553,77.57959804906285],[13.046546226114533,77.5888645634126],[13.04762354918912,77.58856692865037],[13.050785715350475,77.57821481293814]]",12,07:30 AM,08:30 AM
RT-007,Hill ↔ Zone B,Route 7,BUS-007,DRV-007,"[{""name"":""MG Road Metro Stop 1"",""lat"":12.9912,""lng"":77.5771,""scheduledTime"":""07:30 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Bannerghatta Road Apex Stop 2"",""lat"":13.00293642449916,""lng"":77.56310117923977,""scheduledTime"":""07:35 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Basavanagudi Temple St Stop 3"",""lat"":13.01432120669495,""lng"":77.55989216002416,""scheduledTime"":""07:41 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Richmond Road Plaza Stop 4"",""lat"":13.02506350643282,""lng"":77.56035180455582,""scheduledTime"":""07:46 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Frazer Town Mosque Stop 5"",""lat"":13.027545912452402,""lng"":77.55430741119802,""scheduledTime"":""07:52 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Ulsoor Lake Gate Stop 6"",""lat"":13.038094306767977,""lng"":77.54589783301044,""scheduledTime"":""07:58 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""RT Nagar Main Stop Stop 7"",""lat"":13.049342133023634,""lng"":77.5487357928188,""scheduledTime"":""07:63 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Rajajinagar Bridge Stop 8"",""lat"":13.06397055962836,""lng"":77.53386679895986,""scheduledTime"":""07:69 AM"",""status"":""pending"",""boardedCount"":0}]",27,19,42,running,"[[12.9912,77.5771],[12.993103043004606,77.56601961715516],[12.997090929095979,77.56499371526033],[12.99693197099096,77.57353196247746],[13.00293642449916,77.56310117923977],[13.000828426604727,77.56223100614106],[13.008693038187134,77.56949844476385],[13.004834144214824,77.56062986229658],[13.01432120669495,77.55989216002416],[13.008986082916634,77.56506896594942],[13.019786980228377,77.55852226631995],[13.013314811242186,77.55788080973657],[13.02506350643282,77.56035180455582],[13.017843171168622,77.55665938776184],[13.030132203970076,77.55606853053159],[13.022585279814178,77.55548339947993],[13.034983574611966,77.55489826842827],[13.027545912452402,77.55430741119802],[13.039617618358491,77.55061499440404],[13.032720293809748,77.55308598922329],[13.04404383343783,77.55244453263991],[13.038094306767977,77.54589783301044],[13.048280801188184,77.5510746389357],[13.04364510934995,77.55033693666329],[13.05235537396415,77.54146835419601],[13.049342133023634,77.5487357928188],[13.056301501559958,77.5478656197201],[13.05514841869365,77.5374348364824],[13.060158747440559,77.54597308369954],[13.061022231991076,77.5449471818047],[13.06397055962836,77.53386679895986]]",12,07:30 AM,08:30 AM
RT-008,Sunrise ↔ Zone C,Route 8,BUS-008,DRV-008,"[{""name"":""Bannerghatta Road Apex Stop 1"",""lat"":12.9515,""lng"":77.6301,""scheduledTime"":""07:30 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Basavanagudi Temple St Stop 2"",""lat"":12.962261672356151,""lng"":77.60916020883897,""scheduledTime"":""07:39 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Richmond Road Plaza Stop 3"",""lat"":12.976729982974168,""lng"":77.59890557064219,""scheduledTime"":""07:48 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Frazer Town Mosque Stop 4"",""lat"":12.999553032489501,""lng"":77.59002715664035,""scheduledTime"":""07:57 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Ulsoor Lake Gate Stop 5"",""lat"":13.01195996594834,""lng"":77.56771114128439,""scheduledTime"":""07:66 AM"",""status"":""pending"",""boardedCount"":0}]",28,20,43,running,"[[12.9515,77.6301],[12.952992689881938,77.61838109523265],[12.956570222850644,77.61671667141529],[12.956000911622958,77.62461639670991],[12.96159501200849,77.6135470915497],[12.95907666099139,77.61203839652849],[12.96653091945113,77.61866731322876],[12.962261672356151,77.60916020883897],[12.971338381713611,77.60778398464404],[12.965592904812627,77.61232226864678],[12.975983449001703,77.6051370470948],[12.969100926892844,77.60385706858891],[12.980439268960811,77.60568954148563],[12.972808580573945,77.60135860276914],[12.984687260252732,77.60012922361638],[12.976729982974168,77.59890557064219],[12.988717924649288,77.59768191766801],[12.980869909367057,77.59645253851525],[12.992531262150479,77.59212159979876],[12.985223584479067,77.59395407269548],[12.996136770984482,77.59267409418959],[12.989776891191962,77.58548887263761],[12.999553032489501,77.59002715664035],[12.9945069875286,77.58865093244542],[13.002806899020134,77.57914382805563],[12.99938330495695,77.58577274475591],[13.005932320370606,77.58426404973468],[13.00436888438163,77.57319474457448],[13.008968860005872,77.5810944698691],[13.009421991433722,77.57943004605174],[13.01195996594834,77.56771114128439]]",12,07:30 AM,08:30 AM
RT-009,Lake ↔ Zone D,Route 9,BUS-009,DRV-009,"[{""name"":""Basavanagudi Temple St Stop 1"",""lat"":12.9325,""lng"":77.55319999999999,""scheduledTime"":""07:30 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Richmond Road Plaza Stop 2"",""lat"":12.944089179340752,""lng"":77.53878502844657,""scheduledTime"":""07:37 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Frazer Town Mosque Stop 3"",""lat"":12.954555788740054,""lng"":77.52282497192128,""scheduledTime"":""07:45 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Ulsoor Lake Gate Stop 4"",""lat"":12.963206041819344,""lng"":77.50627474545222,""scheduledTime"":""07:52 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""RT Nagar Main Stop Stop 5"",""lat"":12.97003993857862,""lng"":77.49031468892693,""scheduledTime"":""07:60 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Rajajinagar Bridge Stop 6"",""lat"":12.975751265396447,""lng"":77.47589971737351,""scheduledTime"":""07:67 AM"",""status"":""pending"",""boardedCount"":0}]",29,21,44,running,"[[12.9325,77.55319999999999],[12.933419066530208,77.54098404776894],[12.936422976147185,77.53882257648789],[12.935280041567768,77.54622525431881],[12.940300518601571,77.53465890169491],[12.93720854423274,77.53265315921],[12.944089179340752,77.53878502844657],[12.939246308894043,77.52878087659309],[12.947749394899772,77.52690760493446],[12.94143029464706,77.53094884147352],[12.951247215484404,77.52326657245783],[12.943791070023817,77.52148954648824],[12.954555788740054,77.52282497192128],[12.946351477001459,77.51799698574109],[12.957656533328516,77.51627055912462],[12.949125632698221,77.51454985868675],[12.960539951021612,77.51282915824888],[12.95211831238765,77.5111027316324],[12.963206041819344,77.50627474545222],[12.955324740796202,77.50761017088526],[12.965664303949888,77.50583314491567],[12.958730800805638,77.49815087589998],[12.967933318751449,77.50219211243903],[12.962313650438816,77.50031884078041],[12.97003993857862,77.49031468892693],[12.966042721163706,77.4964465581635],[12.972018113225632,77.49444081567859],[12.969881053884928,77.48287446305469],[12.973907406157439,77.49027714088561],[12.97378691423356,77.48811566960455],[12.975751265396447,77.47589971737351]]",12,07:30 AM,08:30 AM
RT-010,St. ↔ Zone E,Route 10,BUS-010,DRV-010,"[{""name"":""Richmond Road Plaza Stop 1"",""lat"":12.981,""lng"":77.64819999999999,""scheduledTime"":""07:30 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Frazer Town Mosque Stop 2"",""lat"":12.98225643409122,""lng"":77.62607663333289,""scheduledTime"":""07:36 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Ulsoor Lake Gate Stop 3"",""lat"":12.99284299520136,""lng"":77.6151135207036,""scheduledTime"":""07:42 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""RT Nagar Main Stop Stop 4"",""lat"":12.987269302273656,""lng"":77.60482028105541,""scheduledTime"":""07:49 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Rajajinagar Bridge Stop 5"",""lat"":13.000355863383799,""lng"":77.59452704140722,""scheduledTime"":""07:55 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""BTM Layout Water Tank Stop 6"",""lat"":12.997282170456096,""lng"":77.58356392877793,""scheduledTime"":""07:62 AM"",""status"":""pending"",""boardedCount"":0},{""name"":""Domlur Flyover Stop 7"",""lat"":13.003538604547314,""lng"":77.56144056211083,""scheduledTime"":""07:68 AM"",""status"":""pending"",""boardedCount"":0}]",30,12,45,running,"[[12.981,77.64819999999999],[12.981228644501904,77.63566874259352],[12.983542132090577,77.63319196613705],[12.981708775482856,77.64027933879255],[12.986038830488354,77.62839768099322],[12.98225643409122,77.62607663333289],[12.988446647170925,77.63189319739404],[12.982913354695913,77.62157374036514],[12.990726018673337,77.61938516353108],[12.98371649639232,77.62311109489471],[12.99284299520136,77.6151135207036],[12.984696427712468,77.6130211895586],[12.994770724400402,77.6140413098162],[12.9858759906335,77.6088980184606],[12.996490624932255,77.6068562866687],[12.987269302273656,77.60482028105541],[12.997993198568741,77.60278427544212],[12.988881137906477,77.60074254365023],[12.999278445309864,77.59559925229462],[12.99070672225842,77.59661937255223],[13.000355863383799,77.59452704140722],[12.992731938211245,77.58652946721611],[13.001244034128751,77.59025539857974],[12.994933943787814,77.58806682174568],[13.001969809899315,77.57774736471679],[12.997282170456096,77.58356392877793],[13.002567140489717,77.5812428811176],[12.999739659120708,77.56936122331827],[13.003075589364915,77.57644859597377],[13.002264675412732,77.5739718195173],[13.003538604547314,77.56144056211083]]",12,07:30 AM,08:30 AM
