id,busNumber,registrationNumber,model,capacity,currentStudents,driverId,routeId,gpsStatus,gpsDeviceId,insuranceExpiry,fitnessExpiry,pollutionExpiry,maintenanceStatus,status,currentSpeed,maxSpeedLimit
BUS-001,BUS 01,KA-03-EQ-2001,Ashok Leyland Lynx,40,19,DRV-001,RT-001,connected,GPS-AIS-10001,2027-04-02,2026-11-02,2026-09-02,good,active,33,50
BUS-002,BUS 02,KA-03-EQ-2002,Tata Starbus 40S,40,20,DRV-002,RT-002,connected,GPS-AIS-10002,2027-04-03,2026-11-03,2026-09-03,good,active,34,50
BUS-003,BUS 03,KA-03-EQ-2003,Ashok Leyland Lynx,40,21,DRV-003,RT-003,connected,GPS-AIS-10003,2027-04-04,2026-11-04,2026-09-04,expiring,active,35,50
BUS-004,BUS 04,KA-03-EQ-2004,Tata Starbus 40S,40,21,DRV-004,RT-004,connected,GPS-AIS-10004,2027-04-05,2026-11-05,2026-09-05,good,active,36,50
BUS-005,BUS 05,KA-03-EQ-2005,Ashok Leyland Lynx,40,23,DRV-005,RT-005,connected,GPS-AIS-10005,2027-04-06,2026-11-06,2026-09-06,good,active,37,50
BUS-006,BUS 06,KA-03-EQ-2006,Tata Starbus 40S,40,23,DRV-006,RT-006,connected,GPS-AIS-10006,2027-04-07,2026-11-07,2026-09-07,good,active,38,50
BUS-007,BUS 07,KA-03-EQ-2007,Ashok Leyland Lynx,40,25,DRV-007,RT-007,connected,GPS-AIS-10007,2027-04-08,2026-11-08,2026-09-08,good,active,39,50
BUS-008,BUS 08,KA-03-EQ-2008,Tata Starbus 40S,40,25,DRV-008,RT-008,connected,GPS-AIS-10008,2027-04-09,2026-11-09,2026-09-09,good,active,40,50
BUS-009,BUS 09,KA-03-EQ-2009,Ashok Leyland Lynx,40,26,DRV-009,RT-009,connected,GPS-AIS-10009,2027-04-10,2026-11-10,2026-09-10,good,active,41,50
BUS-010,BUS 10,KA-03-EQ-2010,Tata Starbus 40S,40,27,DRV-010,RT-010,connected,GPS-AIS-10010,2027-04-11,2026-11-11,2026-09-11,good,active,42,50
BUS-011,BUS 11,KA-03-EQ-2011,Ashok Leyland Lynx,40,28,DRV-011,RT-011,connected,GPS-AIS-10011,2027-04-12,2026-11-12,2026-09-12,good,active,43,50
